"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"30","2001-04-18","Washington Capitals","4","Pittsburgh Penguins","3","OT","","",""
"31","2001-04-18","Ottawa Senators","1","Toronto Maple Leafs","3","","","",""
"32","2001-04-18","Colorado Avalanche","5","Vancouver Canucks","1","","","",""
"33","2001-04-19","Edmonton Oilers","3","Dallas Stars","4","OT","","",""
"34","2001-04-19","Buffalo Sabres","1","Philadelphia Flyers","3","","","",""
"35","2001-04-19","San Jose Sharks","2","St. Louis Blues","3","OT","","",""
"36","2001-04-20","Carolina Hurricanes","3","New Jersey Devils","2","","","",""
"37","2001-04-21","Philadelphia Flyers","0","Buffalo Sabres","8","","","",""
"38","2001-04-21","Los Angeles Kings","3","Detroit Red Wings","2","","","",""
"39","2001-04-21","Dallas Stars","3","Edmonton Oilers","1","","","",""
"40","2001-04-21","St. Louis Blues","2","San Jose Sharks","1","","","",""
"41","2001-04-21","Pittsburgh Penguins","2","Washington Capitals","1","","","",""
"42","2001-04-22","New Jersey Devils","5","Carolina Hurricanes","1","","","",""
"43","2001-04-23","Detroit Red Wings","2","Los Angeles Kings","3","OT","","",""
"44","2001-04-23","Washington Capitals","3","Pittsburgh Penguins","4","OT","","",""
"45","2001-04-26","Pittsburgh Penguins","3","Buffalo Sabres","0","","","",""
"46","2001-04-26","Los Angeles Kings","4","Colorado Avalanche","3","OT","","",""
"47","2001-04-26","Toronto Maple Leafs","2","New Jersey Devils","0","","","",""
"48","2001-04-27","St. Louis Blues","4","Dallas Stars","2","","","",""
"49","2001-04-28","Pittsburgh Penguins","3","Buffalo Sabres","1","","","",""
"50","2001-04-28","Los Angeles Kings","0","Colorado Avalanche","2","","","",""
"51","2001-04-28","Toronto Maple Leafs","5","New Jersey Devils","6","OT","","",""
"52","2001-04-29","St. Louis Blues","2","Dallas Stars","1","","","",""
"53","2001-04-30","Colorado Avalanche","4","Los Angeles Kings","3","","","",""
"54","2001-04-30","Buffalo Sabres","4","Pittsburgh Penguins","1","","","",""
"55","2001-05-01","Dallas Stars","2","St. Louis Blues","3","2OT","","",""
"56","2001-05-01","New Jersey Devils","3","Toronto Maple Leafs","2","OT","","",""
"57","2001-05-02","Colorado Avalanche","3","Los Angeles Kings","0","","","",""
"58","2001-05-02","Buffalo Sabres","5","Pittsburgh Penguins","2","","","",""
"59","2001-05-03","Dallas Stars","1","St. Louis Blues","4","","","",""
"60","2001-05-03","New Jersey Devils","1","Toronto Maple Leafs","3","","","",""
"61","2001-05-04","Los Angeles Kings","1","Colorado Avalanche","0","","","",""
"62","2001-05-05","Pittsburgh Penguins","2","Buffalo Sabres","3","OT","","",""
"63","2001-05-05","Toronto Maple Leafs","3","New Jersey Devils","2","","","",""
"64","2001-05-06","Colorado Avalanche","0","Los Angeles Kings","1","2OT","","",""
"65","2001-05-07","New Jersey Devils","4","Toronto Maple Leafs","2","","","",""
"66","2001-05-08","Buffalo Sabres","2","Pittsburgh Penguins","3","OT","","",""
"67","2001-05-09","Los Angeles Kings","1","Colorado Avalanche","5","","","",""
"68","2001-05-09","Toronto Maple Leafs","1","New Jersey Devils","5","","","",""
"69","2001-05-10","Pittsburgh Penguins","3","Buffalo Sabres","2","OT","","",""
"70","2001-05-12","St. Louis Blues","1","Colorado Avalanche","4","","","",""
"71","2001-05-12","Pittsburgh Penguins","1","New Jersey Devils","3","","","",""
"72","2001-05-14","St. Louis Blues","2","Colorado Avalanche","4","","","",""
"73","2001-05-15","Pittsburgh Penguins","4","New Jersey Devils","2","","","",""
"74","2001-05-16","Colorado Avalanche","3","St. Louis Blues","4","2OT","","",""
"75","2001-05-17","New Jersey Devils","3","Pittsburgh Penguins","0","","","",""
"76","2001-05-18","Colorado Avalanche","4","St. Louis Blues","3","OT","","",""
"77","2001-05-19","New Jersey Devils","5","Pittsburgh Penguins","0","","","",""
"78","2001-05-21","St. Louis Blues","1","Colorado Avalanche","2","OT","","",""
"79","2001-05-22","Pittsburgh Penguins","2","New Jersey Devils","4","","","",""
"80","2001-05-26","New Jersey Devils","0","Colorado Avalanche","5","","","",""
"81","2001-05-29","New Jersey Devils","2","Colorado Avalanche","1","","","",""
"82","2001-05-31","Colorado Avalanche","3","New Jersey Devils","1","","","",""
"83","2001-06-02","Colorado Avalanche","2","New Jersey Devils","3","","","",""
"84","2001-06-04","New Jersey Devils","4","Colorado Avalanche","1","","","",""
"85","2001-06-07","Colorado Avalanche","4","New Jersey Devils","0","","","",""
"86","2001-06-09","New Jersey Devils","1","Colorado Avalanche","3","","","",""
